conv:people_2019072901_67:aug_0:chat_0:chataug_0| anthony chris| [person:anthony m 0-0][person:chris m 1-1]
anthony| hi|
chris| ho hi|
chris| how u doing| [person:anthony m 1-1]
chris| I am Chris| [person:chris m 0-0][person:chris m 2-2]
anthony| fine i just had lunch stepping out to see a game soon| [person:anthony m 1-1]
anthony| wanna come with me| [person:anthony m 3-3]
chris| sure thing|
chris| are Jason Gary and William going| [person:jason m 1-1][person:gary m 2-2][person:william m 4-4]
anthony| can you call Alice and tell her about the game| [person:chris m 1-1][person:alice f 3-3][person:alice f 6-6]
chris| Sure let me call her now| [person:chris m 2-2][person:alice f 4-4]
chris| She said she will go too| [person:alice f 0-0][person:alice f 2-2]
chris| ok we will meet there then| [person:we g(anthony:chris:alice) 1-1][location:there s 4-4]

conv:people_2019072901_68:aug_0:chat_0:chataug_0| amy larry| [person:amy f 0-0][person:larry m 1-1]
larry| Hey amy| [person:amy f 1-1]
larry| Ready to go|
amy| Yes|
amy| Just got on here Gotta read instructions|
larry| I need Jack to carry the hiking Bag| [person:larry m 0-0][person:jack m 2-2]
larry| Can you manage to carry yours alone| [person:amy f 1-1][person:amy f 5-5]
larry| so what should we bring along| [person:larry m 3-3]
larry| ok|
amy| Absolutely and Angela can carry knives and Alex can bring food| [person:angela f 2-2][person:alex m 7-7]
larry| Food|
larry| What will you be bringing| [person:amy f 2-2]
amy| I will bring tents and weed| [person:amy f 0-0]
larry| weeds thats great its gonna be awesome|
larry| um I may bring 3 torches| [person:larry m 1-1]
amy| Awesome Looks like everything is planned out|
larry| What will Jack bring| [person:larry m 2-2]
larry| yes plan going great|
amy| Jack can bring a shovel and bug spray| [person:larry m 0-0]
amy| Alright see you later| [person:larry m 2-2]
larry| ok I guess we are ready Lets wait for them to come so we get moving| [person:larry m 1-1][person:larry m 3-3][person:them g() 9-9][person:larry m 13-13]
larry| Yea later we leave in 5| [person:larry m 2-2]

conv:people_2019072902_2:aug_0:chat_0:chataug_0| carol joe| [person:carol f 0-0][person:joe m 1-1]
carol| Hi Joe| [person:carol f 1-1]
joe| Hey so what movies did you see the other day| [person:joe m 5-5]
carol| We went to watch Avengers| [person:carol f 0-0]
joe| Did it end leading up to another sequel|
carol| Yes I can t wait to see it Henry didn t really care for the movie though| [person:carol f 1-1][person:carol f 8-8]
joe| Oh okay I m not a huge Avengers fan either but I do think it s good stuff| [person:joe m 2-2][person:joe m 11-11]
carol| Kelly and I thought it was sad We also saw a Dog s Journey which was funny and sad| [person:carol f 0-0][person:carol f 2-2][person:carol f 7-7]
joe| I saw the first movie they made based on book by same author Bruce Cameron s A Dog s Purpose I read a Dog s Journey and anticipated the movie would be a combination of funny and sad| [person:joe m 0-0][person:joe m 5-5][person:joe m 13-13][person:joe m 14-14][person:joe m 20-20]
carol| Yes it was Both movies were really good and held our attention but if you don t like crying at movies you may want to skip them both lol| [person:carol f 3-3][person:carol f 10-10][person:carol f 14-14][person:carol f 21-21][person:carol f 26-26][person:carol f 27-27]
joe| Yeah I don t mind a shedding a tear Movies that can evoke different emotions are all the better I look forward to eventually seeing the Avengers movie but I did wonder if it lived up to all the hype| [person:joe m 1-1][person:joe m 19-19][person:joe m 29-29]

conv:people_2019072902_5:aug_0:chat_0:chataug_0| angela melinda| [person:angela f 0-0][person:melinda f 1-1]
angela| Hey Melinda| [person:angela f 1-1]
melinda| Hey Angela how are you| [person:angela f 1-1][person:angela f 4-4]
angela| I am great are you exciting about your parents visiting| [person:angela f 0-0][person:melinda f 4-4][person:melinda f 7-7][person:parents g() 8-8]
melinda| Yes totally But also a little worried|
angela| Why|
melinda| Well they really want to go shopping and it s so hard to take them with my busy schedule| [person:parents g() 1-1][person:parents g() 14-14][person:melinda f 16-16]
melinda| Do you think you would be open to driving them some day| [person:angela f 1-1][person:angela f 3-3][person:parents g() 9-9]
angela| Totally your parents are great| [person:parents g() 1-1][person:parents g() 2-2]
angela| Let me know a good time I will drive them and show them around| [person:angela f 1-1][person:angela f 6-6][person:parents g() 9-9][person:parents g() 12-12]
melinda| Awesome I will ask them and get back to you Thank you so much Angela| [person:melinda f 1-1][person:parents g() 4-4][person:angela f 9-9][person:angela f 11-11][person:angela f 14-14]
angela| No problem Later|

conv:people_2019072902_9:aug_0:chat_0:chataug_0| linda pamela| [person:linda f 0-0][person:pamela f 1-1]
linda| pamela you wanna go for a run| [person:pamela f 0-0][person:linda f 1-1]
pamela| Hey Sorry I m kind of busy with work right now| [person:pamela f 2-2]
pamela| I can t| [person:pamela f 0-0]
linda| Awww please come it would be more fun if you join me| [person:pamela f 9-9][person:linda f 11-11]
pamela| I know I wish I could I just have a big deadline tomorrow| [person:pamela f 0-0][person:pamela f 2-2][person:pamela f 4-4][person:pamela f 6-6]
linda| do you happen to know anyone who can join me then| [person:pamela f 1-1][person:anyone g() 5-5][person:linda f 9-9]
pamela| yes actually i do my friend meredith runs in the same park| [person:pamela f 2-2][person:pamela f 4-4][person:pamela f 5-5][person:meredith f 6-6][location:park s 11-11]
linda| Ok thanks for the info pamela good luck with work| [person:pamela f 5-5]
pamela| her number is 111 2223333 if you want to reach out to her| [person:pamela f 0-0][person:linda f 6-6][person:pamela f 12-12]
pamela| sure thing next time hopefully i ll be able to join you| [person:pamela f 5-5][person:linda f 11-11]
linda| alright thanks|
pamela| have a nice run|
linda| thank you girl definitely next time| [person:pamela f 1-1]

conv:people_2019072902_11:aug_0:chat_0:chataug_0| angela melinda| [person:angela f 0-0][person:melinda f 1-1]
melinda| Hey Angela| [person:melinda f 1-1]
angela| So I ve cleared my evening to take your parents shopping What are they looking for| [person:angela f 1-1][person:angela f 4-4][person:angela f 8-8][person:angela f 9-9][person:angela f 13-13]
