conv:people_2019090101_269:aug_0:chat_0:chataug_0| april julia| [person:april f 0-0][person:julia f 1-1]
april| Hey Julia how s it going| [person:julia f 1-1]
julia| Pretty good April how are you| [person:april f 2-2][person:april f 5-5]
april| I m great just wanted to make sure you were still going to the Campbell s for the show| [person:april f 0-0][person:julia f 8-8]
julia| Yeah of course I m just trying to decide what to get each of them| [person:julia f 3-3][person:campbells g() 14-14]
april| I was thinking we should get them something they all like| [person:april f 0-0][person:we g(april:julia) 3-3][person:campbells g() 6-6][person:campbells g() 8-8]
julia| I was thinking a coffee maker for Andy a smoothie maker for Stephanie and for Eddie we could get him a Spiderman toy| [person:julia f 0-0][person:andy m 7-7][person:stephanie f 12-12][person:eddie m 15-15][person:we g(april:julia) 16-16][person:eddie m 19-19]
april| Yes I think that s a great idea| [person:april f 1-1]
april| Do you think you could pick all that stuff up for us| [person:julia f 1-1][person:julia f 3-3][person:we g(april:julia) 11-11]
julia| Yeah sure no problem|
julia| Could you just split the cost with me through CashApp| [person:april f 1-1][person:julia f 7-7]
april| Yeah that sounds awesome can t wait to see you| [person:julia f 9-9]
julia| Yeah me to looking forward to it| [person:julia f 1-1]

conv:people_2019090101_270:aug_0:chat_0:chataug_0| alice meredith| [person:alice f 0-0][person:meredith f 1-1]
alice| When would be best to meet up with Tim and Laura| [location:meet s 5-5][person:tim m 8-8][person:laura f 10-10]
meredith| Maybe next week Friday or Saturday|
alice| It is a pity we could not go out this week| [location:meet s 0-0][person:we g(alice:meredith) 4-4]
meredith| I know I was really looking forward to attending the show| [person:meredith f 0-0][person:meredith f 2-2]
alice| Well we would be there next week| [person:we g(alice:meredith) 1-1][location:meet s 4-4]
meredith| Yes but Bruno Mars is this weekend|
alice| Justin Bieber would be there next week| [person:justin m 0-0]
meredith| Do I look like a teenager to you| [person:meredith f 1-1][person:alice f 7-7]
alice| You are never too old to love the Biebs| [person:meredith f 0-0]
meredith| I wonder if Tim and Laura love the Biebs| [person:meredith f 0-0][person:tim m 3-3][person:laura f 5-5][location:meet s 8-8]
alice| I bet they do| [person:alice f 0-0][person:they g(tim:laura:justin) 2-2]
