conv:people_2019081802_39:aug_0:chat_0:chataug_0| alexander johnny| [person:alexander m 0-0][person:johnny m 1-1]
alexander| Hey Johnny you know I ma planning a party for Amy and David Jeffrey right| [person:johnny m 1-1][person:johnny m 2-2][person:alexander m 4-4][person:amy f 10-10][person:david m 12-12][person:jeffrey m 13-13]
johnny| Yes I a know Do you need some help| [person:johnny m 1-1][person:alexander m 5-5]
alexander| I sure do I am unsure where to have it| [person:alexander m 0-0][person:alexander m 3-3]
johnny| Well what are some of their favorite places| [person:their g(amy:david:jeffrey) 5-5][location:places g() 7-7]
alexander| Amy loves the park but I am unsure about David| [person:amy f 0-0][location:park s 3-3][person:alexander m 5-5][person:david m 9-9]
johnny| Other than football I am out of suggestions| [person:johnny m 3-3]
alexander| That won t work I need something else| [person:alexander m 4-4]
johnny| I think you should ask Edgar he might know what David likes| [person:johnny m 0-0][person:alexander m 2-2][person:edgar m 5-5][person:edgar m 6-6][person:david m 10-10]
alexander| Thanks great idea|
johnny| Your welcome Keep me posted on the details| [person:alexander m 0-0][person:johnny m 3-3]

conv:people_2019081802_40:aug_0:chat_0:chataug_0| jacqueline thomas| [person:jacqueline f 0-0][person:thomas m 1-1]
thomas| Jacqueline you have to come to the concert with us You ll has so much fun| [person:jacqueline f 0-0][person:jacqueline f 1-1][location:concert s 7-7][person:us g(thomas) 9-9][person:jacqueline f 10-10]
jacqueline| Who are you going to see| [person:thomas m 2-2]
thomas| Queen with Adam Lambert as the lead singer| [person:adam m 2-2]
jacqueline| oooh awesome what day|
thomas| This weekend we re driving down to Las Vegas the show is Saturday at 8pm| [person:us g(thomas) 2-2][location:las_vegas s 7-8]
jacqueline| That does sound like it s going to be fun Who s all going|
thomas| It will be me Kimberly Charlotte and Tyler| [person:thomas m 3-3][person:kimberly f 4-4][person:tyler m 7-7]
jacqueline| Hmmm I don t know I really don t know them that well What are they like| [person:jacqueline f 1-1][person:jacqueline f 5-5][person:them g(kimberly:tyler) 10-10][person:them g(kimberly:tyler) 15-15]
thomas| So much fun and everyone s very friendly| [person:everyone g() 4-4]
thomas| Kimberly is like a mother figure she s the responsible one Charlotte is a party animal but she knows her limits And Tyler is just a very chill guy You ll really like them| [person:kimberly f 0-0][person:kimberly f 6-6][person:charlotte f 17-17][person:charlotte f 19-19][person:tyler m 22-22][person:jacqueline f 29-29]
thomas| And if it makes you feel better I m the one that will be driving You can sit in the front| [person:jacqueline f 4-4][person:thomas m 7-7][person:jacqueline f 15-15]
jacqueline| Hmm ok Maybe I will go after all| [person:jacqueline f 3-3]
jacqueline| How much are tickets|
thomas| Don t worry about that I have you covered| [person:thomas m 5-5][person:jacqueline f 7-7]
jacqueline| Ok haha I m in| [person:jacqueline f 2-2]
thomas| Sweet I ll pick you up Friday after work| [person:thomas m 1-1][person:jacqueline f 4-4]
jacqueline| See you then| [person:thomas m 1-1]

conv:people_2019081802_42:aug_0:chat_0:chataug_0| kathryn melinda| [person:kathryn f 0-0][person:melinda f 1-1]
melinda| I will be in Seatlle tomorrow and need to meet all friends| [person:melinda f 0-0][person:friends g() 11-11]
kathryn| I think we have to pick some place near to Dwayne s place| [person:kathryn f 0-0][person:we g(melinda:kathryn) 2-2][location:place s 7-7][person:dwayne m 10-10][location:place s 12-12]
melinda| Why you selected such place| [person:kathryn f 1-1][location:place s 4-4]
kathryn| For the simple reason that Dwayne does not like to travel far| [person:dwayne m 5-5]
melinda| okay no problem if other s are okay|
kathryn| Everybody will be fine with this place| [person:friends g() 0-0][location:place s 6-6]
melinda| So i will be there tomorrow morning and expect you to meet me first| [person:melinda f 1-1][location:place s 4-4][person:kathryn f 9-9][person:melinda f 12-12]
kathryn| Yes i will be right there for you| [person:kathryn f 1-1][location:place s 5-5][person:melinda f 7-7]
melinda| I am very excited for tomorrow s meeting| [person:melinda f 0-0]
kathryn| Yes so see you in the morning tomorrow bye| [person:melinda f 3-3]

conv:people_2019081802_43:aug_0:chat_0:chataug_0| frances kelly| [person:frances f 0-0][person:kelly f 1-1]
kelly| I ve got the trip almost all planned out Check out my map| [person:kelly f 0-0][person:kelly f 11-11]
frances| This looks really good I think this is going to be a lot of fun| [person:frances f 4-4]
kelly| It will be for sure We always have a great time with Christian Katherine and Rose That s why I thought it would be great to invite them| [person:we g(kelly:frances) 5-5][person:christian m 12-12][person:katherine f 13-13][person:rose f 15-15][person:kelly f 19-19][person:them g(christian:katherine:rose) 27-27]
frances| That was a good idea Sure is nice having neighbors we actually like for a change| [person:them g(christian:katherine:rose) 9-9][person:we g(kelly:frances) 10-10]
kelly| I know The only thing I want to figure out is the money Like who s exactly paying for what| [person:kelly f 0-0][person:kelly f 5-5]
frances| Yeah that s important It s probably going to add up pretty quickly|
kelly| Right because we need a bunch of stuff Snacks drinks maybe some games| [person:we g(kelly:frances) 2-2]
frances| And we ll have to fill up the car with gas more than a few times I m sure| [person:we g(kelly:frances) 1-1][person:frances f 16-16]
kelly| Maybe we can do it so we take care of all the car stuff and they take care of all the food stuff Do you think that would even out| [person:we g(kelly:frances) 1-1][person:we g(kelly:frances) 6-6][person:them g(christian:katherine:rose) 15-15][person:frances f 24-24]
frances| I think it probably would yeah We should also get the oil checked and make sure the car s good to go| [person:frances f 0-0][person:we g(kelly:frances) 6-6]

conv:people_2019081802_44:aug_0:chat_0:chataug_0| joe phillip| [person:joe m 0-0][person:phillip m 1-1]
phillip| Hey Joe do you remember what time we were supposed to be at the Harpers tomorrow| [person:joe m 1-1][person:joe m 3-3][person:we g(phillip:joe) 7-7][person:harpers g() 14-14]
joe| Yeah we should be there at 7pm| [person:we g(phillip:joe) 1-1]
phillip| What do you think we should take them| [person:joe m 2-2][person:we g(phillip:joe) 4-4][person:harpers g() 7-7]
joe| Can never go wrong with food|
phillip| That s true Do you know what they like| [person:joe m 4-4][person:harpers g() 7-7]
joe| We could take some kind of dessert| [person:we g(phillip:joe) 0-0]
phillip| Oh yeah that wouldn t go to waste even if they made some already| [person:harpers g() 10-10]
joe| But back to your question no I don t know their tastes for sure| [person:phillip m 3-3][person:joe m 6-6][person:harpers g() 10-10]
phillip| Hmm What now Do I just take ice cream or something| [person:phillip m 4-4]
joe| You should ask Stephan if you want to be sure he knows them better| [person:phillip m 0-0][person:stephan m 3-3][person:phillip m 5-5][person:stephan m 10-10][person:harpers g() 12-12]
phillip| Okay I will thanks Talk to you later| [person:phillip m 1-1][person:joe m 6-6]

conv:people_2019081802_45:aug_0:chat_0:chataug_0| evelyn kathryn| [person:evelyn f 0-0][person:kathryn f 1-1]
kathryn| hai evelyn how are you i missed you a lot for the past few days| [person:evelyn f 1-1][person:evelyn f 4-4][person:kathryn f 5-5][person:evelyn f 7-7]
evelyn| Oh great i am fine kathyrn what about you i hope you will be fine| [person:evelyn f 2-2][person:kathryn f 8-8][person:evelyn f 9-9][person:kathryn f 11-11]
kathryn| actually i am interested to going for a workout will you join along with me| [person:kathryn f 1-1][person:evelyn f 10-10][person:kathryn f 14-14]
evelyn| sorry kathryn i have other works today i am not willing| [person:kathryn f 1-1][person:evelyn f 2-2][person:evelyn f 7-7]
kathryn| No evelyn you should not tell me like that i love to go along with you| [person:evelyn f 1-1][person:evelyn f 2-2][person:kathryn f 6-6][person:kathryn f 9-9][person:evelyn f 15-15]
evelyn| sorry once again kathryn i need to complete my work today itself i can t able to postponed it| [person:kathryn f 3-3][person:evelyn f 4-4][person:evelyn f 8-8][person:evelyn f 12-12]
kathryn| oh no evelyn i will help you in doing that after finish my workout along with you| [person:evelyn f 2-2][person:kathryn f 3-3][person:evelyn f 6-6][person:kathryn f 12-12][person:evelyn f 16-16]
evelyn| sorry da please understand me i will give my friend katherine number i will inform her to join along with you| [person:evelyn f 4-4][person:evelyn f 5-5][person:evelyn f 8-8][person:katherine f 9-9][person:katherine f 10-10][person:evelyn f 12-12][person:katherine f 15-15][person:kathryn f 20-20]
kathryn| ok evelyn i missed you a lot whether katherine is interested in doing workout| [person:evelyn f 1-1][person:kathryn f 2-2][person:evelyn f 4-4][person:katherine f 8-8]
evelyn| yes ofcourse kathryn she will not avoid workout she like it most| [person:kathryn f 2-2][person:katherine f 3-3][person:katherine f 8-8]

conv:people_2019081802_46:aug_0:chat_0:chataug_0| brandon jeffrey| [person:brandon m 0-0][person:jeffrey m 1-1]
jeffrey| Brandon Shall we go and have some drinks| [person:brandon m 0-0][person:we g(jeffrey:brandon) 2-2]
brandon| Yes I am also thinking the same and I like it| [person:brandon m 1-1][person:brandon m 8-8]
brandon| How about inviting our friends to join us| [person:we g(jeffrey:brandon) 3-3][person:friends g() 4-4][person:we g(jeffrey:brandon) 7-7]
jeffrey| Yes nice Who are all you are going to invite| [person:brandon m 5-5]
brandon| I think Phil and Karan are good partners What about you| [person:brandon m 0-0][person:phil m 2-2][person:karan m 4-4][person:jeffrey m 10-10]
jeffrey| Yes they are And also Ron who is also a good partner for this drink party| [person:friends g(phil:karan) 1-1][person:ron m 5-5]
brandon| Oh sorry I forgot him Do you have his contact number I don t have it| [person:brandon m 2-2][person:ron m 4-4][person:jeffrey m 6-6][person:ron m 8-8][person:brandon m 11-11]
jeffrey| I have it in my phone I will call him and invite| [person:jeffrey m 0-0][person:jeffrey m 4-4][person:jeffrey m 6-6][person:ron m 9-9]
brandon| Okay You call Ron and I will invite both Phil and Karan| [person:jeffrey m 1-1][person:ron m 3-3][person:brandon m 5-5][person:phil m 9-9][person:karan m 11-11]
jeffrey| Do you have their contacts with you| [person:brandon m 1-1][person:friends g(phil:karan) 3-3][person:brandon m 6-6]
brandon| Yes recently we met each other in a party outside So I got it| [person:we g(brandon:phil:karan) 2-2][person:brandon m 11-11]
jeffrey| Okay nice go on|

conv:people_2019081802_47:aug_0:chat_0:chataug_0| dennis pedro| [person:dennis m 0-0][person:pedro m 1-1]
pedro| Have you decided if you want to take the Smiths up on their offer for a movie at their house| [person:dennis m 1-1][person:dennis m 4-4][person:smiths g() 9-9][person:smiths g() 12-12][person:smiths g() 18-18]
dennis| Sure why not It sounds like fun Tom said he wanted to go too| [person:tom m 7-7][person:tom m 9-9]
pedro| Excellent He s always fun to hang out with We should probably bring something with us right| [person:tom m 1-1][person:we g(pedro:dennis) 9-9][person:we g(pedro:dennis) 15-15]
dennis| I think that would be polite yeah I never know what to bring for stuff like this though| [person:dennis m 0-0][person:dennis m 7-7]
pedro| Neither do I It s kind of hard to predict what the Smiths would like you know| [person:pedro m 2-2][person:smiths g() 12-12][person:pedro m 15-15]
dennis| They re not really beer drinkers and they don t eat a lot of snacks so I don t know| [person:smiths g() 0-0][person:smiths g() 7-7][person:dennis m 16-16]
pedro| I know we have to bring something though It s just common courtesy| [person:pedro m 0-0][person:we g(pedro:dennis) 2-2]
dennis| Yeah we have to come up with something And it s getting late so we don t have a lot of time| [person:we g(pedro:dennis) 1-1][person:we g(pedro:dennis) 14-14]
pedro| You know what you should call Tom since he knows them better than we do He d probably have an idea or two| [person:dennis m 0-0][person:dennis m 3-3][person:tom m 6-6][person:tom m 8-8][person:smiths g() 10-10][person:we g(pedro:dennis) 13-13][person:tom m 15-15]
dennis| Great idea I ll give him a call right now and see| [person:dennis m 2-2][person:tom m 5-5]

conv:people_2019081802_48:aug_0:chat_0:chataug_0| phil ron| [person:phil m 0-0][person:ron m 1-1]
ron| Hey Phil Pedro and Rafael are here at my house| [person:phil m 1-1][person:pedro m 2-2][person:rafael m 4-4][location:house s 6-6][person:ron m 8-8][location:house s 9-9]
phil| Oh is there some kind of party going on there| [location:house s 2-2]
ron| Nah my brother s just visiting me and brought his friend| [person:ron m 1-1][person:brother m 2-2][person:ron m 6-6][person:brother m 9-9][person:friend u 10-10]
phil| Are you guys planning to do anything| [person:ron m 1-1]
ron| Yeah we re gonna watch the Superbowl| [person:we g(ron:phil) 1-1]
phil| Oh yeah I almost forgot it s that time of the year| [person:phil m 2-2]
ron| So we ve been thinking about going out to watch it at a bar| [person:we g(ron:phil) 1-1][location:bar s 13-13]
ron| What do you think Want to come along| [person:phil m 2-2]
phil| Oh sure sounds like a good time|
ron| Do you know any good place we could go to Otherwise I ll just pick the closest one| [person:phil m 1-1][location:place s 5-5][person:we g(ron:phil) 6-6][person:ron m 11-11]
phil| Yeah there s one near where I work that s pretty friendly and accomodating| [person:phil m 6-6]
ron| Great I ll tell my brother and his friend to meet you there before the game| [person:ron m 1-1][person:ron m 4-4][person:brother m 5-5][person:brother m 7-7][person:friend u 8-8][person:phil m 11-11][location:there u 12-12]
ron| Send me the address| [person:ron m 1-1]
phil| Ok|

conv:people_2019081802_50:aug_0:chat_0:chataug_0| maria megan| [person:maria f 0-0][person:megan f 1-1]
megan| Hey Maria do you remember when the playoff game we re gonna watch is| [person:maria f 1-1][person:maria f 3-3][person:we g(megan:maria) 9-9]
maria| Hi Megan yes it s next Saturday| [person:megan f 1-1]
megan| Okay cool just making sure because I want to ask if Janice and Sarah want to come| [person:megan f 6-6][person:janice f 11-11][person:sarah f 13-13]
maria| Do you think they like that kind of stuff| [person:megan f 1-1][person:they g(janice:sarah) 3-3]
megan| I don t know for sure but it doesn t hurt to ask| [person:megan f 0-0]
maria| Well that s true Maybe it ll be fun for them if all four of us are together anyway| [person:they g(janice:sarah) 10-10][person:us g(megan:maria:janice:sarah) 15-15]
megan| Where do you think we should meet| [person:maria f 2-2][person:we g(megan:maria) 4-4]
maria| If it s just the two of us we can just meet at the entrance| [person:we g(megan:maria) 7-7][person:we g(megan:maria) 8-8]
maria| But the other two might not know where it is|
megan| True so if they accept we should meet at the closest bus station| [person:they g(janice:sarah) 3-3][person:we g(megan:maria:janice:sarah) 5-5][location:station s 12-12]
maria| Let me know when you ask them then| [person:maria f 1-1][person:megan f 4-4][person:they g(janice:sarah) 6-6]
megan| Sure Bye for now|

conv:people_2019081802_51:aug_0:chat_0:chataug_0| linda samuel| [person:linda f 0-0][person:samuel m 1-1]
samuel| Hi Linda Are you free now| [person:linda f 1-1][person:linda f 3-3]
linda| Yes dear I am free now Anything important| [person:linda f 2-2]
samuel| Yes Linda It is about get together with our friends| [person:linda f 1-1][person:our g(samuel:linda) 8-8][person:friends g() 9-9]
linda| Oh Good As we discussed earlier we already invited our friends Heather Derek Susie and Ron What is up| [person:our g(samuel:linda) 3-3][person:our g(samuel:linda) 6-6][person:our g(samuel:linda) 9-9][person:heather f 11-11][person:derek m 12-12][person:susie f 13-13][person:ron m 15-15]
samuel| yes You are right The event will be on coming Sunday We need to make arrangements to make that event a memorable one| [person:linda f 1-1][person:our g(samuel:linda) 11-11]
linda| Yes dear It must be a ever memorable one What shall we do for that| [person:our g(samuel:linda) 11-11]
samuel| Shall we conduct some games on that day| [person:our g(samuel:linda) 1-1]
linda| It is really interesting Shall we have role play and singing event on that dayy| [person:our g(samuel:linda) 5-5]
samuel| Yes It will be a nice one Shall we purchase some snacks like potato chips cool drinks and pizza| [person:our g(samuel:linda) 8-8]
linda| Wow All are my favorite snacks items Yes we shall purchase all those things| [person:linda f 3-3][person:our g(samuel:linda) 8-8]
samuel| I will purchase all those things I will call you later Bye| [person:samuel m 0-0][person:samuel m 6-6][person:linda f 9-9]
linda| Bye dear|

conv:people_2019081802_53:aug_0:chat_0:chataug_0| kayla stanley| [person:kayla f 0-0][person:stanley m 1-1]
stanley| Hi So I m having a little get together with Susan Janice and Mike this weekend Do you want to join us| [person:stanley m 2-2][person:susan f 10-10][person:janice f 11-11][person:mike m 13-13][person:kayla f 17-17][person:us g(stanley:susan:janice:mike) 21-21]
kayla| Oh i don t know I ve never met any of those people| [person:kayla f 1-1][person:kayla f 5-5]
stanley| Oh you d get along great Susan is an engineer just like you| [person:kayla f 1-1][person:susan f 6-6][person:kayla f 12-12]
kayla| I don t know| [person:kayla f 0-0]
stanley| Janice and Mike are really nice They just returned from Europe and will have some great stories to share| [person:janice f 0-0][person:mike m 2-2][person:they g(susan:janice:mike) 6-6][location:europe s 10-10]
kayla| Oh really I m traveling to Spain soon maybe they would have some advice for me| [person:kayla f 2-2][location:spain s 6-6][person:they g(susan:janice:mike) 9-9][person:kayla f 15-15]
stanley| So you ll come| [person:kayla f 1-1]
kayla| I suppose Maybe just for a little bit What time is it| [person:kayla f 0-0]
stanley| Saturday at 7 I m so glad you re coming| [person:stanley m 3-3][person:kayla f 7-7]
kayla| See you there| [person:stanley m 1-1]
stanley| You bet| [person:kayla f 0-0]
kayla| Oh I ll bring wine too Something French| [person:kayla f 1-1]
stanley| Thanks|

conv:people_2019081802_54:aug_0:chat_0:chataug_0| amanda dwayne| [person:amanda f 0-0][person:dwayne m 1-1]
dwayne| I can t wait for game night Let s get a plan together so we have everything we need| [person:dwayne m 0-0][person:we g(dwayne:amanda) 14-14][person:we g(dwayne:amanda) 17-17]
amanda| Sounds good to me I think we should have a variety of games I can bring Monopoly Scrabble and UNO| [person:amanda f 3-3][person:amanda f 4-4][person:we g(dwayne:amanda) 6-6][person:amanda f 13-13]
dwayne| I think that will be enough Maria said that she was bringing Cards Against Humanity too| [person:dwayne m 0-0][person:maria f 6-6][person:maria f 9-9]
amanda| I think we could order some pizzas Should we get pepperoni| [person:amanda f 0-0][person:we g(dwayne:amanda:maria) 2-2][person:we g(dwayne:amanda:maria) 8-8]
dwayne| We will have to get some plain pizzas too Charles doesn t eat meat| [person:we g(dwayne:amanda:maria) 0-0][person:charles m 9-9]
amanda| That s right I had forgotten Kimberly and Kyle said they are bringing soda and juice| [person:amanda f 3-3][person:kimberly f 6-6][person:kyle m 8-8][person:they g(kimberly:kyle) 10-10]
dwayne| Good I already have chips and pretzels| [person:dwayne m 1-1]
amanda| I ll make cookies for dessert Do you think we need anything else| [person:amanda f 0-0][person:dwayne m 7-7][person:we g(dwayne:amanda:maria) 9-9]
dwayne| I don t think so I have paper plates napkins and cups I think we are good| [person:dwayne m 0-0][person:dwayne m 5-5][person:dwayne m 12-12][person:we g(dwayne:amanda:maria) 14-14]
amanda| Great It s going to be a good time|

conv:people_2019081802_55:aug_0:chat_0:chataug_0| lawrence maria| [person:lawrence m 0-0][person:maria f 1-1]
lawrence| Hey Maria what s going on| [person:maria f 1-1]
maria| Hi Lawrence I m doing well how about you| [person:lawrence m 1-1][person:maria f 2-2][person:lawrence m 8-8]
lawrence| I m good my friends Melissa Judith and Bob are going to be here I was wondering if you want to join us| [person:lawrence m 0-0][person:lawrence m 3-3][person:friends g() 4-4][person:melissa f 5-5][person:judith f 6-6][person:bob m 8-8][person:lawrence m 14-14][person:maria f 18-18]
maria| I don t know about that You all go way back together I d feel awkward| [person:maria f 0-0][person:lawrence m 6-6][person:maria f 12-12]
lawrence| I ve told them all about you They really want to meet you| [person:lawrence m 0-0][person:friends g(melissa:judith:bob) 3-3][person:maria f 6-6][person:friends g(melissa:judith:bob) 7-7][person:maria f 12-12]
maria| What do they like to do| [person:friends g(melissa:judith:bob) 2-2]
lawrence| They re into all the same things you re into Melissa really likes pop music And Judith and Bob really love sushi like you We can all go to sushi together| [person:friends g(melissa:judith:bob) 0-0][person:maria f 7-7][person:melissa f 10-10][person:judith f 16-16][person:bob m 18-18][person:maria f 23-23][person:we g(lawrence:maria:melissa:judith:bob) 24-24]
maria| Yeah that new sushi place near my work is really good| [location:place s 4-4][person:maria f 6-6]
lawrence| Yeah we can all go there and do other things after So are you in| [person:we g(lawrence:maria:melissa:judith:bob) 1-1][person:maria f 13-13]
maria| Okay let s do that You ve convinced me| [person:lawrence m 5-5][person:maria f 8-8]
lawrence| That s great We ll all meet you over there| [person:we g(lawrence:maria:melissa:judith:bob) 3-3][person:maria f 7-7]

conv:people_2019081802_56:aug_0:chat_0:chataug_0| bryan scott| [person:bryan m 0-0][person:scott m 1-1]
bryan| Hey Scott what s going on| [person:scott m 1-1]
scott| Hi Bryan how is your family doing| [person:bryan m 1-1][person:bryan m 4-4][person:scott_s_family g() 5-5]
bryan| My family is great how about yours| [person:bryan m 0-0][person:bryan_s_family g() 1-1][person:scott m 6-6]
scott| Good Do you want to go to breakfast together| [person:bryan m 2-2]
bryan| Sure that sounds terrific How about we invite some friends| [person:we g(bryan:scott) 6-6][person:they g() 9-9]
scott| Yes let s invite Douglas and Robert to breakfast| [person:douglas m 4-4][person:robert m 6-6]
bryan| Well I was thinking maybe just Robert because Douglas is particular about always needing Italian| [person:bryan m 1-1][person:robert m 6-6][person:douglas m 8-8]
