conv:people_chats_04182020_260:aug_0:chat_0:chataug_0| anne klay| [person:anne f 0-0][person:klay m 1-1]
klay| Hi Anne When are you getting back to the dorms| [person:anne f 1-1][person:anne f 4-4][location:dorms g() 9-9]
anne| Hi Klay I got back yesterday| [person:klay m 1-1][person:anne f 2-2]
klay| Do know whether Sofia and Pete got back| [person:sofia f 3-3][person:pete m 5-5]
anne| They are already here too Although I suspect Pete stayed over the holiday break| [person:they g(sofia:pete) 0-0][location:dorms g() 3-3][person:anne f 6-6][person:pete m 8-8]
klay| That s quite possible Do you know when Sofia got back| [person:anne f 5-5][person:sofia f 8-8]
anne| Yes she got back this morning When will you be back to school| [person:sofia f 1-1][person:klay m 8-8][location:school s 12-12]
klay| Not until tomorrow because I have my Dad s birthday to go to first| [person:klay m 4-4][person:klay m 6-6][person:dad m 7-7]
anne| Okay wish him from my side| [person:dad m 2-2][person:anne f 4-4]
klay| I will I really miss you| [person:klay m 0-0][person:klay m 2-2][person:anne f 5-5]
anne| Oh That s so sweet of you I really miss you too| [person:klay m 6-6][person:anne f 7-7][person:klay m 10-10]

conv:people_chats_04182020_261:aug_0:chat_0:chataug_0| caitlyn henry| [person:caitlyn f 0-0][person:henry m 1-1]
caitlyn| Hi Henry Would you like to go to a concert with me next week| [person:henry m 1-1][person:henry m 3-3][person:caitlyn f 11-11]
henry| Hey Caitlyn I would love to| [person:caitlyn f 1-1][person:henry m 2-2]
caitlyn| Great I m looking forward to spending time together| [person:caitlyn f 1-1]
henry| I mentioned the concert to my cousins Larisa and Albert Is it okay if they come| [person:henry m 0-0][person:henry m 5-5][person:cousins g() 6-6][person:larisa f 7-7][person:albert m 9-9][person:cousins g(larisa:albert) 14-14]
caitlyn| I am sorry I am not comfortable with hanging out with them as I do not know them| [person:caitlyn f 0-0][person:caitlyn f 3-3][person:cousins g(larisa:albert) 11-11][person:caitlyn f 13-13][person:cousins g(larisa:albert) 17-17]
henry| Okay no problem Do not worry Larisa and Albert will probably cancel anyway| [person:larisa f 6-6][person:albert m 8-8]
caitlyn| Okay great I want to spend time alone with you anyway| [person:caitlyn f 2-2][person:henry m 9-9]
henry| If they do not decide to cancel I will cancel on them| [person:cousins g(larisa:albert) 1-1][person:henry m 7-7][person:cousins g(larisa:albert) 11-11]
caitlyn| What are you going to tell them| [person:henry m 2-2][person:cousins g(larisa:albert) 6-6]
henry| Would you be okay with me telling them that this is a date| [person:caitlyn f 1-1][person:henry m 5-5][person:cousins g(larisa:albert) 7-7]
caitlyn| Yes I would be okay with that| [person:caitlyn f 1-1]
caitlyn| Is this a date|
henry| I would like it to be a date| [person:henry m 0-0]
henry| Would you like to go on a date with me| [person:caitlyn f 1-1][person:henry m 9-9]
caitlyn| Yes I would love to| [person:caitlyn f 1-1]
henry| Great I am very excited Caitlyn| [person:henry m 1-1][person:caitlyn f 5-5]
caitlyn| I am excited too Henry| [person:caitlyn f 0-0][person:henry m 4-4]
henry| Awesome I will see you next week then| [person:henry m 1-1][person:caitlyn f 4-4]
caitlyn| See you next week| [person:henry m 1-1]

conv:people_chats_04182020_265:aug_0:chat_0:chataug_0| evelyn mark| [person:evelyn f 0-0][person:mark m 1-1]
mark| As there was always trash outside of Kathleen s door This has became an issue of Cleanliness| [person:kathleen f 7-7]
evelyn| Yes Rats were scratching the bag and making lot of noises in the night That was horrible|
mark| By the way Evelyn Why can t she feel the same as we do| [person:evelyn f 3-3][person:kathleen f 7-7][person:we g(mark:evelyn) 12-12]
evelyn| Yes Mark That is what I do not understand We need to figure out on this| [person:mark m 1-1][person:evelyn f 5-5][person:we g(mark:evelyn) 9-9]
mark| You and me should try out the best way to bring this up to Kathleen What do you say| [person:evelyn f 0-0][person:mark m 2-2][person:kathleen f 14-14][person:evelyn f 17-17]
evelyn| Yes Mark I agree with you| [person:mark m 1-1][person:evelyn f 2-2][person:mark m 5-5]
mark| So Let us plan something and make her understand about the Cleanliness| [person:we g(mark:evelyn) 2-2][person:kathleen f 7-7]
evelyn| We need to plan according to the Kathleen So That she would take the trash to the Dumpster| [person:we g(mark:evelyn) 0-0][person:kathleen f 7-7][person:kathleen f 10-10]
mark| I feel that We need to make her realize the importance of maintaining Healthy environment in the surroundings| [person:mark m 0-0][person:we g(mark:evelyn) 3-3][person:kathleen f 7-7]
evelyn| That was the basic responsibility of Kathleen To take the trash to the dumpster very frequently So that she can be no more spreading the unhealthy environment| [person:kathleen f 6-6][person:kathleen f 18-18]

conv:people_chats_04182020_266:aug_0:chat_0:chataug_0| mona nilo| [person:mona f 0-0][person:nilo m 1-1]
mona| Hey Nilo Did you plan anything for Erum and Summera s birthday| [person:nilo m 1-1][person:nilo m 3-3][person:erum f 7-7][person:summera f 9-9]
nilo| Hi Mona I would like to surprise the twins by celebrating their birthday at work place| [person:mona f 1-1][person:nilo m 2-2][person:twins g(erum:summera) 8-8][person:twins g(erum:summera) 11-11][location:place s 15-15]
mona| Okay and on what day are you planning about it| [person:nilo m 6-6]
nilo| I think we ll plan it on a weekday| [person:nilo m 0-0][person:we g(mona:nilo) 2-2]
mona| Why do you want to plan it on the week day| [person:nilo m 2-2]
nilo| It s because I think it would be easy to gather every one at workplace| [person:nilo m 3-3]
mona| But it will be hard for us to surprise them on the weekday and that too in their workplace| [person:we g(mona:nilo) 6-6][person:twins g(erum:summera) 9-9][person:twins g(erum:summera) 17-17]
nilo| What would you suggest me to do then| [person:mona f 2-2][person:nilo m 4-4]
mona| Wouldn t it be best to do that on the weekend|
nilo| Okay There s no problem to plan it on weekend|
mona| But there will still be a problem for us| [person:we g(mona:nilo) 8-8]
nilo| What problem do we have now| [person:we g(mona:nilo) 3-3]
mona| We have to think of a location and time for the surprise party| [person:we g(mona:nilo) 0-0]
nilo| Okay we ll do it in our free time at our workplace| [person:we g(mona:nilo) 1-1][person:we g(mona:nilo) 6-6][person:we g(mona:nilo) 10-10]

conv:people_chats_04182020_267:aug_0:chat_0:chataug_0| henry luara| [person:henry m 0-0][person:luara f 1-1]
henry| Hey Laura let s plan a family vacation for some days| [person:luara f 1-1][person:family g() 6-6]
luara| That sounds like great idea what place do you have in mind| [location:place s 6-6][person:henry m 8-8]
henry| Actually I was thinking about Hawaii will that be a good place to visit| [person:henry m 1-1][location:hawaii s 5-5][location:place s 11-11]
luara| I like your thinking but do you think our parents will feel the same| [person:luara f 0-0][person:henry m 2-2][person:henry m 6-6][person:our g(henry:luara) 8-8][person:family g() 9-9]
henry| Even I have no idea about it shall we think about a different place then| [person:henry m 1-1][location:hawaii s 6-6][person:our g(henry:luara) 8-8][location:place s 13-13]
luara| I think dad will like Hawaii but mom may not like it due to the weather| [person:luara f 0-0][person:dad m 2-2][location:hawaii s 5-5][person:mom f 7-7][location:hawaii s 11-11]
henry| How about New York then That s a good tourist destination also| [location:new_york s 2-3]
luara| It sounds good I think it will be better if we talk to our parents before making a decision| [location:new_york s 0-0][person:luara f 3-3][location:new_york s 5-5][person:our g(henry:luara) 10-10][person:our g(henry:luara) 13-13][person:parents g(dad:mom) 14-14]
henry| Yeah you are right I will talk to them and then I ll book the tickets| [person:luara f 1-1][person:henry m 4-4][person:parents g(dad:mom) 8-8][person:henry m 11-11]
luara| Let me know as soon as you decide so that I can plan accordingly| [person:luara f 1-1][person:henry m 6-6][person:luara f 10-10]

conv:people_chats_04182020_270:aug_0:chat_0:chataug_0| mark pablo| [person:mark m 0-0][person:pablo m 1-1]
mark| Hey Pablo let s have a party tonight| [person:pablo m 1-1]
pablo| That s great Mark let s invite Mike and Rosa also in the party| [person:mark m 3-3][person:mike m 7-7][person:rosa f 9-9]
mark| Yeah okay I ll go and buy the materials that are needed for the party| [person:mark m 2-2]
pablo| Okay fine get some good stuff and don t forget snacks|
mark| Pablo I don t understand what to buy there are lots of different varieties in this shop| [person:pablo m 0-0][person:mark m 1-1]
pablo| Get the good quality snacks Mark don t think about it much| [person:mark m 5-5]
mark| But the good quality snacks are way too much expensive|
pablo| Don t think about the cost or anything just get the snacks|
mark| Okay I am bringing all the stuff that is needed for the party Did you inform Mike and Rosa about the party| [person:mark m 1-1][person:pablo m 14-14][person:mike m 16-16][person:rosa f 18-18]
pablo| Yeah I m onto it let s have a great party tonight| [person:pablo m 1-1]

conv:people_chats_04182020_271:aug_0:chat_0:chataug_0| lance pedro| [person:lance m 0-0][person:pedro m 1-1]
lance| Hey Pedro Benjamin and I are going out tonight Will you and Linda join us| [person:pedro m 1-1][person:benjamin m 2-2][person:lance m 4-4][person:pedro m 10-10][person:linda f 12-12][person:us g(lance:benjamin) 14-14]
pedro| Where are you guys going| [person:us g(lance:benjamin) 2-2]
lance| We were thinking to go to a club| [person:us g(lance:benjamin) 0-0][location:club s 7-7]
pedro| Sorry Lance but I think we can t join you| [person:lance m 1-1][person:pedro m 3-3][person:we g(pedro:linda) 5-5][person:lance m 9-9]
lance| Why Pedro It will be great fun if you and Linda join us Please come| [person:pedro m 1-1][location:club s 2-2][person:pedro m 8-8][person:linda f 10-10][person:us g(lance:benjamin) 12-12]
pedro| It s been a long week for us We want to stay in| [person:we g(pedro:linda) 7-7][person:we g(pedro:linda) 8-8]
lance| Oh okay but we wanted you both to join us| [person:us g(lance:benjamin) 3-3][person:we g(pedro:linda) 5-5][person:us g(lance:benjamin) 9-9]
pedro| We are sorry But you can come to our house We will have a dinner and have fun| [person:we g(pedro:linda) 0-0][person:lance m 4-4][person:we g(pedro:linda) 8-8][person:we g(pedro:linda) 10-10]
lance| Sounds great we ll be there within 30 minutes| [person:us g(lance:benjamin) 2-2][location:house s 5-5]
pedro| Alright then we will be waiting| [person:we g(pedro:linda) 2-2]

conv:people_chats_04182020_272:aug_0:chat_0:chataug_0| charlotte suzy| [person:charlotte f 0-0][person:suzy f 1-1]
suzy| Hi Charlotte How are we going to office tomorrow| [person:we g(suzy:charlotte) 4-4][location:office s 7-7]
charlotte| Hi Suzy let s go by car I ll drive us| [person:suzy f 1-1][person:charlotte f 7-7][person:us g(suzy:charlotte) 10-10]
suzy| I just saw on the news that the cars are slipping really bad I don t think we should go by car| [person:suzy f 0-0][person:suzy f 13-13][person:we g(suzy:charlotte) 17-17]
charlotte| Then how should we go| [person:we g(suzy:charlotte) 3-3]
suzy| I think we should take the train| [person:suzy f 0-0][person:we g(suzy:charlotte) 2-2]
charlotte| Are you sure that s a good idea| [person:suzy f 1-1]
